1	Κατὰ πετρῶν σπείρεις.
2	Πλίνθον πλύνεις.
3	Δικτύῳ ἄνεμον θηρᾷς.
4	Εἰς πίθον ἀντλεῖς. 
5	Εἰς ὕδωρ γράφεις.
6	Εἰς οὐρανὸν τοξεύεις.
7	Αἰθίοπα σμήχεις.
8	Κοσκίνῳ ὕδωρ ἀντλεῖς.
9	Νεκρὸν μαστίζεις. 
10	Εἰς ψάμμον οἰκοδομεῖς.
11	Εἰς ὕδωρ σπείρεις.
12	Ἀκίνητα κίνεις.
13	Ἀκίχητα διώκεις.
14	Σίδηρον πλεῖν διδάσκεις.
15	Δελφῖνα νήχεσθαι διδάσκεις.
16	Ἡλίῳ φῶς δανείζεις.
17	Κύματα μετρεῖς.
18	Ὑπὲρ τὰ ἐσκαμμένα πηδᾷς.
19	Λύκου πτερὸν ζητεῖς.
20	Τράγον ἀμέλγεις.
21	Ἄμμον θαλάσσης κοφίνῳ ζητεῖς μετρεῖν,
22	Ἐλαίῳ πῦρ σβεννύεις.
23	Αἰγιαλῷ λαλεῖς.
24	Λίθῳ διαλέγου.
25	Ἄνεα πτερῶν ζητεῖς ἵπτασθαι.
26	Φαλακρῷ κτένας δανείζεις.
27	Τυφλῷ κάτοπτρον χαρίξῃ·
28	Ἠπειρώτῃ δίκτυα δίδως.
29	Πρὸς κωφοῖς ἀποπέρδεις.
30	Ἄνεμον διώκεις.
31	Παρὰ δικτύοις ὕδωρ κομίζεις.
32	Ἵππος εἰς λεῖον πεδίον.
33	Ἀετὸς εἰς θήραν.
34	Ξυρὸς εἰς ἀκόνην.
35	Σφαῖρα κατὰ πρανοῦς.
36	Πῦρ εἰς ἀκάνθας.
37	Σπόγγος εἰς ὕδωρ.
38	Ὄρνιθος γάλα ζητεῖς.
39	Φακοῦ γωνίαν κάμπτεις.
40	Ὠὸν τίλλεις.
41	Θάλασσαν σπείρεις,
42	Πλίνθον πλύνεις.
43	Κωφῷ ὁμιλεῖς.
44	Τυφλῷ διανεύεις.
45	Ἀνδριάντα γαργαλίζεις.
46	Εἰς τετρημένον πίθον ἀντλεῖς.
47	Ἄστρα τοξεύεις.
48	Πῦρ ἀλείφεις.
49	Κατὰ μαχαιρῶν κυβιστᾷς.
50	Κοσκίνῳ φέρεις ὕδωρ.
51	Νεφέλας ξαίνεις.
52	Αἰθίοπα λευκαίνεις.
